id_criterio,id_proveedor,id_obra,id_tipo_proveedor,id_corte_evaluacion,puntaje_maximo,puntaje_promedio,evaluado
Continuidad y rendimiento en la prestación del servicio,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,20,19.33,si
Suministra el personal competente para el servicio que presta,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,20,19.33,si
"Cumple oportunamente con la documentación solicitada para el ingreso del personal (EPS, ARL, AFP, etc.)",CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,5,5.00,si
Cumple oportunamente con los aportes de seguridad social,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,5,5.00,si
Cumple oportunamente con la realización de exámenes ocupacionales del personal,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,5,5.00,si
"Participa activamente en actividades SST: inducciones, capacitaciones, inspecciones",CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,5,5.00,si
Cumple con el uso de los elementos de protección personal,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,5,5.00,si
Cumple con el reporte de todas las novedades del personal y entrega de paz y salvo de personal retirado,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,5,5.00,si
Cumple con los reportes de accidentes presentados,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,5,5.00,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,CONTRAILER S.A.S,ALUNAS S.A.S.,Maquinaria y equipo,09/15/2025,5,5.00,si
Cumple con las especificaciones técnicas,DISLUBRIVAL S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,DISLUBRIVAL S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,25,24.17,si
Servicio postventa,DISLUBRIVAL S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,DISLUBRIVAL S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,20,19.00,si
Cumple con las especificaciones técnicas,DOTACIONES Y CALZADO ALPA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,35,31.43,si
Entrega oportuna del producto,DOTACIONES Y CALZADO ALPA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,25,22.86,si
Servicio postventa,DOTACIONES Y CALZADO ALPA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,DOTACIONES Y CALZADO ALPA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,18.00,si
Cumple con las especificaciones técnicas,ELECTRICO AUTOMOTRIZ Y SUMINISTROS LTDA.,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,ELECTRICO AUTOMOTRIZ Y SUMINISTROS LTDA.,ALUNAS S.A.S.,Insumos,09/15/2025,25,24.17,si
Servicio postventa,ELECTRICO AUTOMOTRIZ Y SUMINISTROS LTDA.,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,ELECTRICO AUTOMOTRIZ Y SUMINISTROS LTDA.,ALUNAS S.A.S.,Insumos,09/15/2025,20,14.00,si
Cumple con las especificaciones técnicas,ELECTRILUJOS R.B. LA 38 S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,ELECTRILUJOS R.B. LA 38 S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,25,24.17,si
Servicio postventa,ELECTRILUJOS R.B. LA 38 S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,ELECTRILUJOS R.B. LA 38 S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,16.00,si
Cumple con el servicio dentro del programa establecido,EMBRAGUES CARIBE S.A.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,27.50,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,EMBRAGUES CARIBE S.A.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,24.17,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,EMBRAGUES CARIBE S.A.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,22.50,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,EMBRAGUES CARIBE S.A.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con las especificaciones técnicas,EMCO PARTS S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,EMCO PARTS S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,25,23.33,si
Servicio postventa,EMCO PARTS S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,EMCO PARTS S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,15.00,si
Cumple con las especificaciones técnicas,FINSOCIAL S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,35,33.57,si
Entrega oportuna del producto,FINSOCIAL S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,25,21.43,si
Servicio postventa,FINSOCIAL S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,19.29,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,FINSOCIAL S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,7.00,si
Cumple con las especificaciones técnicas,FRENOS & PARTES BARRANQUILLA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,FRENOS & PARTES BARRANQUILLA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,25,22.50,si
Servicio postventa,FRENOS & PARTES BARRANQUILLA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,FRENOS & PARTES BARRANQUILLA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,14.00,si
Cumple con las especificaciones técnicas,GENERAL DE EQUIPOS DE COLOMBIA S A GECOLSA,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,GENERAL DE EQUIPOS DE COLOMBIA S A GECOLSA,ALUNAS S.A.S.,Insumos,09/15/2025,25,21.67,si
Servicio postventa,GENERAL DE EQUIPOS DE COLOMBIA S A GECOLSA,ALUNAS S.A.S.,Insumos,09/15/2025,20,19.17,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,GENERAL DE EQUIPOS DE COLOMBIA S A GECOLSA,ALUNAS S.A.S.,Insumos,09/15/2025,20,18.00,si
Programación y ejecución de los trabajos de campo,GESTLAB S.A.S,ALUNAS S.A.S.,Laboratorio y topografía,09/15/2025,30,29.29,si
Cumple con las fechas definidas para entrega de informes,GESTLAB S.A.S,ALUNAS S.A.S.,Laboratorio y topografía,09/15/2025,30,28.57,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,GESTLAB S.A.S,ALUNAS S.A.S.,Laboratorio y topografía,09/15/2025,20,19.29,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental o certificados de calibración,GESTLAB S.A.S,ALUNAS S.A.S.,Laboratorio y topografía,09/15/2025,20,20.00,si
Cumple con las especificaciones técnicas,GRUPO MAXXICARS LTDA,ALUNAS S.A.S.,Insumos,09/15/2025,35,33.75,si
Entrega oportuna del producto,GRUPO MAXXICARS LTDA,ALUNAS S.A.S.,Insumos,09/15/2025,25,23.75,si
Servicio postventa,GRUPO MAXXICARS LTDA,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,GRUPO MAXXICARS LTDA,ALUNAS S.A.S.,Insumos,09/15/2025,20,18.33,si
Cumple con las especificaciones técnicas,IMPORTADORA DE LLANTAS ESPECIALES S.A,ALUNAS S.A.S.,Insumos,09/15/2025,35,35.00,si
Entrega oportuna del producto,IMPORTADORA DE LLANTAS ESPECIALES S.A,ALUNAS S.A.S.,Insumos,09/15/2025,25,21.43,si
Servicio postventa,IMPORTADORA DE LLANTAS ESPECIALES S.A,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,IMPORTADORA DE LLANTAS ESPECIALES S.A,ALUNAS S.A.S.,Insumos,09/15/2025,20,16.00,si
Cumple con las especificaciones técnicas,INVERSIONES NAS S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,35,32.14,si
Entrega oportuna del producto,INVERSIONES NAS S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,25,19.29,si
Servicio postventa,INVERSIONES NAS S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,INVERSIONES NAS S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,16.00,si
Cumple con el servicio dentro del programa establecido,IVESUR COLOMBIA S.A.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,30.00,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,IVESUR COLOMBIA S.A.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,24.17,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,IVESUR COLOMBIA S.A.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,22.50,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,IVESUR COLOMBIA S.A.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con las especificaciones técnicas,KOMATSU COLOMBIA S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,KOMATSU COLOMBIA S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,25,21.67,si
Servicio postventa,KOMATSU COLOMBIA S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,KOMATSU COLOMBIA S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,20,15.00,si
Cumple con el servicio dentro del programa establecido,MAXIMO AMBIENTE SAS SERVICIOS,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,29.29,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,MAXIMO AMBIENTE SAS SERVICIOS,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,22.14,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,MAXIMO AMBIENTE SAS SERVICIOS,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,24.29,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,MAXIMO AMBIENTE SAS SERVICIOS,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,MENDEZ MEZA Y CIA. S. EN C.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,29.17,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,MENDEZ MEZA Y CIA. S. EN C.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,24.17,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,MENDEZ MEZA Y CIA. S. EN C.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,22.50,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,MENDEZ MEZA Y CIA. S. EN C.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con las especificaciones técnicas,MULTILLANTAS COLOMBIA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,MULTILLANTAS COLOMBIA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,25,20.00,si
Servicio postventa,MULTILLANTAS COLOMBIA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,MULTILLANTAS COLOMBIA S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,14.00,si
Cumple con las especificaciones técnicas,PARTEQUIPOS S A,ALUNAS S.A.S.,Insumos,09/15/2025,35,33.33,si
Entrega oportuna del producto,PARTEQUIPOS S A,ALUNAS S.A.S.,Insumos,09/15/2025,25,22.50,si
Servicio postventa,PARTEQUIPOS S A,ALUNAS S.A.S.,Insumos,09/15/2025,20,18.33,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,PARTEQUIPOS S A,ALUNAS S.A.S.,Insumos,09/15/2025,20,18.00,si
Cumple con las especificaciones técnicas,PC QUICK S A S,ALUNAS S.A.S.,Insumos,09/15/2025,35,32.14,si
Entrega oportuna del producto,PC QUICK S A S,ALUNAS S.A.S.,Insumos,09/15/2025,25,20.00,si
Servicio postventa,PC QUICK S A S,ALUNAS S.A.S.,Insumos,09/15/2025,20,19.29,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,PC QUICK S A S,ALUNAS S.A.S.,Insumos,09/15/2025,20,18.00,si
Cumple con las especificaciones técnicas,PERAZA ARAMENDIZ MORAYMA YOLANDA,ALUNAS S.A.S.,Insumos,09/15/2025,35,31.43,si
Entrega oportuna del producto,PERAZA ARAMENDIZ MORAYMA YOLANDA,ALUNAS S.A.S.,Insumos,09/15/2025,25,20.71,si
Servicio postventa,PERAZA ARAMENDIZ MORAYMA YOLANDA,ALUNAS S.A.S.,Insumos,09/15/2025,20,19.29,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,PERAZA ARAMENDIZ MORAYMA YOLANDA,ALUNAS S.A.S.,Insumos,09/15/2025,20,14.00,si
Cumple con el servicio dentro del programa establecido,RECTIFICADORA DE MOTORES E INYECCION DIESEL CIA LIMITADA,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,29.00,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,RECTIFICADORA DE MOTORES E INYECCION DIESEL CIA LIMITADA,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,24.00,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,RECTIFICADORA DE MOTORES E INYECCION DIESEL CIA LIMITADA,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,24.00,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,RECTIFICADORA DE MOTORES E INYECCION DIESEL CIA LIMITADA,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,S.S.O VITALMEDICOS S.A.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,29.29,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,S.S.O VITALMEDICOS S.A.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,23.57,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,S.S.O VITALMEDICOS S.A.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,23.57,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,S.S.O VITALMEDICOS S.A.S.,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con el servicio dentro del programa establecido,SATRACK INC DE COLOMBIA SERVISAT S A S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,30,28.33,si
Ofrece capacidad de respuesta ante las solicitudes de los clientes,SATRACK INC DE COLOMBIA SERVISAT S A S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,24.17,si
Cumple oportunamente con los registros solicitados del SG-SST y ambiental,SATRACK INC DE COLOMBIA SERVISAT S A S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,25,23.33,si
Cumple con todos los permisos o licencias requeridas para la prestación del servicio,SATRACK INC DE COLOMBIA SERVISAT S A S,ALUNAS S.A.S.,Servicios profesionales,09/15/2025,20,20.00,si
Cumple con las especificaciones técnicas,SEGURIDAD Y PROTECCION INDUSTRIAL SEGUPROT S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,35,32.14,si
Entrega oportuna del producto,SEGURIDAD Y PROTECCION INDUSTRIAL SEGUPROT S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,25,20.71,si
Servicio postventa,SEGURIDAD Y PROTECCION INDUSTRIAL SEGUPROT S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,SEGURIDAD Y PROTECCION INDUSTRIAL SEGUPROT S.A.S,ALUNAS S.A.S.,Insumos,09/15/2025,20,14.00,si
Cumple con las especificaciones técnicas,SOMOS DIESEL LIMITADA,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.17,si
Entrega oportuna del producto,SOMOS DIESEL LIMITADA,ALUNAS S.A.S.,Insumos,09/15/2025,25,22.50,si
Servicio postventa,SOMOS DIESEL LIMITADA,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,SOMOS DIESEL LIMITADA,ALUNAS S.A.S.,Insumos,09/15/2025,20,14.00,si
Cumple con las especificaciones técnicas,SUMINISTRO INTEGRAL SAS,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.29,si
Entrega oportuna del producto,SUMINISTRO INTEGRAL SAS,ALUNAS S.A.S.,Insumos,09/15/2025,25,22.14,si
Servicio postventa,SUMINISTRO INTEGRAL SAS,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,SUMINISTRO INTEGRAL SAS,ALUNAS S.A.S.,Insumos,09/15/2025,20,16.00,si
Cumple con las especificaciones técnicas,SURTI MANGUERAS DE LA COSTA LB S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,35,35.00,si
Entrega oportuna del producto,SURTI MANGUERAS DE LA COSTA LB S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,25,23.33,si
Servicio postventa,SURTI MANGUERAS DE LA COSTA LB S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,SURTI MANGUERAS DE LA COSTA LB S.A.S.,ALUNAS S.A.S.,Insumos,09/15/2025,20,16.00,si
Cumple con las especificaciones técnicas,TEAM GRAPHIC SAS,ALUNAS S.A.S.,Insumos,09/15/2025,35,32.86,si
Entrega oportuna del producto,TEAM GRAPHIC SAS,ALUNAS S.A.S.,Insumos,09/15/2025,25,19.29,si
Servicio postventa,TEAM GRAPHIC SAS,ALUNAS S.A.S.,Insumos,09/15/2025,20,20.00,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,TEAM GRAPHIC SAS,ALUNAS S.A.S.,Insumos,09/15/2025,20,15.00,si
Cumple con las especificaciones técnicas,REPRESENTACIONES OIL FILTER S S.A.,ALUNAS S.A.S.,Insumos,09/15/2025,35,33.33,si
Entrega oportuna del producto,REPRESENTACIONES OIL FILTER S S.A.,ALUNAS S.A.S.,Insumos,09/15/2025,25,22.50,si
Servicio postventa,REPRESENTACIONES OIL FILTER S S.A.,ALUNAS S.A.S.,Insumos,09/15/2025,20,19.17,si
Entrega de certificado de calidad / ficha técnica / hoja de seguridad,REPRESENTACIONES OIL FILTER S S.A.,ALUNAS S.A.S.,Insumos,09/15/2025,20,15.00,si
Cumple con las especificaciones técnicas,TRANSPORTE MINERIA Y CONSTRUCCION TRAMICOMLOGISTICA S.A.,ALUNAS S.A.S.,Insumos,09/15/2025,35,34.00,si
